date,description,reference_no,debit,credit,balance,mode
22-02-2021,NEFT Credit - Falcon Enterprises,TXN1304,0,3197023,697277082,NEFT
23-02-2021,RTGS Payment - Mumbai Transport Co,TXN1305,7607321,0,689669761,RTGS
24-02-2021,NEFT Credit - Central Trading,TXN1306,0,3964686,693634447,NEFT
24-02-2021,NEFT Credit - Coastal Traders,TXN1307,0,7482940,701117387,RTGS
25-02-2021,RTGS Payment - Surat Fabric Traders,TXN1308,10646409,0,690470978,RTGS
25-02-2021,RTGS Payment - Mumbai Transport Co,TXN1309,13500422,0,676970556,RTGS
26-02-2021,NEFT Credit - Silver Oak Ltd,TXN1310,0,18557784,695528340,RTGS
26-02-2021,NEFT Credit - Zenith Industries Ltd,TXN1311,0,4735113,700263453,NEFT
26-02-2021,NEFT Credit - Allied Industries,TXN1312,0,19080620,719344073,RTGS
01-03-2021,Rent Payment - Factory Premises,RNT202103,500000,0,718844073,NEFT
02-03-2021,RTGS Payment - Kolkata Packaging Co,TXN1315,2741849,0,704261545,RTGS
02-03-2021,RTGS Payment - Rajasthan Textiles Supply,TXN1314,11840679,0,707003394,RTGS
03-03-2021,NEFT Credit - Bharat Industries Ltd,TXN1316,0,10090770,714352315,RTGS
04-03-2021,RTGS Payment - Ludhiana Yarn Mills,TXN1317,15294075,0,699058240,RTGS
04-03-2021,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1318,9421474,0,689636766,RTGS
05-03-2021,Loan EMI - Punjab National Bank,EMI1202103,800000,0,688836766,NEFT
08-03-2021,NEFT Credit - National Traders,TXN1320,0,4740214,693576980,NEFT
08-03-2021,NEFT Credit - Prestige Manufacturing,TXN1321,0,17891185,711468165,RTGS
08-03-2021,NEFT Credit - Western Corp,TXN1322,0,5988992,717457157,RTGS
09-03-2021,RTGS Payment - Gujarat Raw Materials Ltd,TXN1323,13991443,0,703465714,RTGS
09-03-2021,RTGS Payment - Mumbai Transport Co,TXN1324,2128374,0,701337340,RTGS
11-03-2021,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1325,9335969,0,692001371,RTGS
12-03-2021,NEFT Credit - Ganges Corp,TXN1326,0,18247971,710249342,RTGS
16-03-2021,RTGS Payment - Bangalore Thread Works,TXN1327,7366630,0,702882712,RTGS
16-03-2021,RTGS Payment - Surat Fabric Traders,TXN1328,4190865,0,698691847,RTGS
17-03-2021,NEFT Credit - Ganges Corp,TXN1331,0,9651696,724171049,RTGS
17-03-2021,NEFT Credit - National Traders,TXN1330,0,7988935,714519353,RTGS
17-03-2021,NEFT Credit - Allied Industries,TXN1329,0,7838571,706530418,RTGS
18-03-2021,RTGS Payment - Mumbai Transport Co,TXN1332,13797216,0,710373833,RTGS
18-03-2021,RTGS Payment - Kolkata Packaging Co,TXN1333,11401497,0,698972336,RTGS
19-03-2021,NEFT Credit - Orbit Solutions,TXN1334,0,9853918,708826254,RTGS
22-03-2021,NEFT Credit - Prestige Manufacturing,TXN1335,0,14163509,722989763,RTGS
22-03-2021,NEFT Credit - Deccan Industries,TXN1336,0,17946563,740936326,RTGS
22-03-2021,NEFT Credit - Sunrise Trading Co,TXN1337,0,13126626,754062952,RTGS
23-03-2021,RTGS Payment - Mumbai Transport Co,TXN1338,11292860,0,742770092,RTGS
23-03-2021,RTGS Payment - Ahmedabad Dyes Ltd,TXN1339,2106810,0,740663282,RTGS
24-03-2021,NEFT Credit - Crown Industries,TXN1340,0,6326280,746989562,RTGS
24-03-2021,NEFT Credit - Sterling Corp,TXN1341,0,15982845,762972407,RTGS
25-03-2021,RTGS Payment - Pune Engineering Works,TXN1342,9511939,0,753460468,RTGS
25-03-2021,RTGS Payment - Pune Engineering Works,TXN1343,13435144,0,740025324,RTGS
26-03-2021,NEFT Credit - National Traders,TXN1344,0,10738746,750764070,RTGS
29-03-2021,NEFT Credit - Sunrise Trading Co,TXN1345,0,13853681,764617751,RTGS
29-03-2021,NEFT Credit - Apex Corp,TXN1346,0,7561145,772178896,RTGS
29-03-2021,NEFT Credit - National Traders,TXN1347,0,13937619,786116515,RTGS
30-03-2021,RTGS Payment - Punjab Suppliers Co,TXN1348,14702006,0,771414509,RTGS
30-03-2021,RTGS Payment - Chennai Chemicals Ltd,TXN1349,13387638,0,758026871,RTGS
31-03-2021,NEFT Credit - Falcon Enterprises,TXN1350,0,16331879,774358750,RTGS
31-03-2021,NEFT Credit - Orbit Solutions,TXN1351,0,5272189,779630939,RTGS
01-04-2021,Rent Payment - Factory Premises,RNT202104,500000,0,779130939,NEFT
02-04-2021,NEFT Credit - Metro Traders Pvt Ltd,TXN1353,0,6907776,786038715,RTGS
05-04-2021,Loan EMI - Punjab National Bank,EMI1202104,800000,0,785238715,NEFT
06-04-2021,RTGS Payment - Punjab Suppliers Co,TXN1356,9740615,0,760504989,RTGS
06-04-2021,RTGS Payment - Bangalore Thread Works,TXN1355,14993111,0,770245604,RTGS
07-04-2021,Salary Payment - All Staff,SAL202104,2800000,0,757704989,NEFT
08-04-2021,RTGS Payment - Chennai Chemicals Ltd,TXN1359,14151844,0,731794990,RTGS
08-04-2021,RTGS Payment - Surat Fabric Traders,TXN1358,11758155,0,745946834,RTGS
09-04-2021,NEFT Credit - Pioneer Mfg Ltd,TXN1362,0,13806826,763589467,RTGS
09-04-2021,NEFT Credit - Prestige Manufacturing,TXN1360,0,11094272,742889262,RTGS
09-04-2021,NEFT Credit - Prestige Manufacturing,TXN1361,0,6893379,749782641,RTGS
12-04-2021,NEFT Credit - Zenith Industries Ltd,TXN1363,0,17776346,781365813,RTGS
12-04-2021,NEFT Credit - Coastal Traders,TXN1364,0,17235797,798601610,RTGS
12-04-2021,NEFT Credit - Coastal Traders,TXN1365,0,17655641,816257251,RTGS
13-04-2021,RTGS Payment - Tirupur Cotton Co,TXN1366,9232769,0,807024482,RTGS
14-04-2021,NEFT Credit - Sunrise Trading Co,TXN1367,0,16290724,823315206,RTGS
16-04-2021,NEFT Credit - National Traders,TXN1368,0,10593853,833909059,RTGS
16-04-2021,NEFT Credit - Metro Traders Pvt Ltd,TXN1369,0,12151717,846060776,RTGS
16-04-2021,NEFT Credit - Falcon Enterprises,TXN1370,0,18192592,864253368,RTGS
19-04-2021,NEFT Credit - Diamond Exports Ltd,TXN1371,0,5037058,869290426,RTGS
20-04-2021,GST Payment - GSTIN MH29AA1234Z,GST202104,1187213,0,868103213,NEFT
21-04-2021,NEFT Credit - Coastal Traders,TXN1375,0,17755645,906159444,RTGS
21-04-2021,NEFT Credit - National Traders,TXN1373,0,12177210,880280423,RTGS
21-04-2021,NEFT Credit - Bharat Industries Ltd,TXN1374,0,8123376,888403799,RTGS
22-04-2021,RTGS Payment - Hyderabad Dye Stuff Co,TXN1377,9259521,0,882732509,RTGS
22-04-2021,RTGS Payment - Bangalore Thread Works,TXN1376,14167414,0,891992030,RTGS
23-04-2021,NEFT Credit - Diamond Exports Ltd,TXN1378,0,17852654,900585163,RTGS
23-04-2021,NEFT Credit - Sunrise Trading Co,TXN1379,0,15276467,915861630,RTGS
23-04-2021,NEFT Credit - Central Trading,TXN1380,0,10763715,926625345,RTGS
26-04-2021,NEFT Credit - Horizon Corp Ltd,TXN1381,0,15412721,942038066,RTGS
26-04-2021,NEFT Credit - Falcon Enterprises,TXN1382,0,16890561,958928627,RTGS
27-04-2021,RTGS Payment - Tirupur Cotton Co,TXN1383,15147218,0,943781409,RTGS
27-04-2021,RTGS Payment - Hyderabad Dye Stuff Co,TXN1384,10230188,0,933551221,RTGS
28-04-2021,Electricity Bill - MSEDCL,ELEC202104,332149,0,933219072,NEFT
29-04-2021,RTGS Payment - Kolkata Packaging Co,TXN1386,9479837,0,923739235,RTGS
30-04-2021,NEFT Credit - Himalaya Exports,TXN1387,0,7593722,931332957,RTGS
03-05-2021,NEFT Credit - Horizon Corp Ltd,TXN1388,0,8434586,939767543,RTGS
04-05-2021,RTGS Payment - Hyderabad Dye Stuff Co,TXN1389,3451868,0,936315675,RTGS
04-05-2021,RTGS Payment - Rajasthan Textiles Supply,TXN1390,4630518,0,931685157,RTGS
05-05-2021,Loan EMI - Punjab National Bank,EMI1202105,800000,0,930885157,NEFT
06-05-2021,RTGS Payment - Mumbai Transport Co,TXN1392,13742545,0,917142612,RTGS
07-05-2021,Salary Payment - All Staff,SAL202105,2800000,0,914342612,NEFT
11-05-2021,RTGS Payment - Ludhiana Yarn Mills,TXN1394,5689533,0,908653079,RTGS
12-05-2021,NEFT Credit - Sterling Corp,TXN1395,0,9638382,918291461,RTGS
13-05-2021,RTGS Payment - Hyderabad Dye Stuff Co,TXN1396,9916912,0,908374549,RTGS
13-05-2021,RTGS Payment - Mumbai Transport Co,TXN1397,3144645,0,905229904,RTGS
14-05-2021,NEFT Credit - Southern Corp,TXN1398,0,9848838,915078742,RTGS
17-05-2021,NEFT Credit - Allied Industries,TXN1399,0,15715029,930793771,RTGS
17-05-2021,NEFT Credit - Western Corp,TXN1400,0,18672287,949466058,RTGS
18-05-2021,RTGS Payment - Ahmedabad Dyes Ltd,TXN1401,14944545,0,934521513,RTGS
19-05-2021,NEFT Credit - Zenith Industries Ltd,TXN1403,0,18616580,963940485,RTGS
19-05-2021,NEFT Credit - Delta Traders,TXN1404,0,7809888,971750373,RTGS
19-05-2021,NEFT Credit - Prestige Manufacturing,TXN1402,0,10802392,945323905,RTGS
20-05-2021,GST Payment - GSTIN MH29AA1234Z,GST202105,1108930,0,970641443,NEFT
21-05-2021,NEFT Credit - Eastern Exports,TXN1406,0,15341231,985982674,RTGS
21-05-2021,NEFT Credit - Deccan Industries,TXN1407,0,11962579,997945253,RTGS
24-05-2021,NEFT Credit - Allied Industries,TXN1408,0,6500025,1004445278,RTGS
24-05-2021,NEFT Credit - Royal Textiles,TXN1409,0,6481284,1010926562,RTGS
24-05-2021,NEFT Credit - Horizon Corp Ltd,TXN1410,0,10112114,1021038676,RTGS
25-05-2021,RTGS Payment - Gujarat Raw Materials Ltd,TXN1411,8623941,0,1012414735,RTGS
25-05-2021,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1412,13321837,0,999092898,RTGS
26-05-2021,NEFT Credit - Northern Exports,TXN1413,0,9583308,1008676206,RTGS
26-05-2021,NEFT Credit - Deccan Industries,TXN1414,0,5568991,1014245197,RTGS
26-05-2021,NEFT Credit - Southern Corp,TXN1415,0,10641505,1024886702,RTGS
27-05-2021,RTGS Payment - Bangalore Thread Works,TXN1416,11061107,0,1013825595,RTGS
28-05-2021,Electricity Bill - MSEDCL,ELEC202105,253534,0,1013572061,NEFT
31-05-2021,NEFT Credit - Ganges Corp,TXN1419,0,3254696,1029095683,NEFT
31-05-2021,NEFT Credit - Western Corp,TXN1418,0,12268926,1025840987,RTGS
01-06-2021,Rent Payment - Factory Premises,RNT202106,500000,0,1028595683,NEFT
02-06-2021,NEFT Credit - Indus Trading,TXN1421,0,9990929,1038586612,RTGS
03-06-2021,RTGS Payment - Ahmedabad Dyes Ltd,TXN1422,9846014,0,1028740598,RTGS
04-06-2021,NEFT Credit - Metro Traders Pvt Ltd,TXN1423,0,7164698,1035905296,RTGS
07-06-2021,Salary Payment - All Staff,SAL202106,2800000,0,1033105296,NEFT
07-06-2021,TDS Payment Challan 281,TDS202106,449379,0,1032655917,NEFT
08-06-2021,RTGS Payment - Chennai Chemicals Ltd,TXN1426,9728588,0,1022927329,RTGS
08-06-2021,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1427,7762319,0,1015165010,RTGS
09-06-2021,NEFT Credit - Horizon Corp Ltd,TXN1428,0,15416631,1030581641,RTGS
09-06-2021,NEFT Credit - Southern Corp,TXN1429,0,9872684,1040454325,RTGS
11-06-2021,NEFT Credit - Southern Corp,TXN1430,0,4174158,1044628483,NEFT
11-06-2021,NEFT Credit - Royal Textiles,TXN1431,0,3125197,1047753680,NEFT
14-06-2021,NEFT Credit - Eastern Exports,TXN1432,0,3673851,1051427531,NEFT
14-06-2021,NEFT Credit - Delta Traders,TXN1433,0,6561823,1057989354,RTGS
14-06-2021,NEFT Credit - Indus Trading,TXN1434,0,3951225,1061940579,NEFT
15-06-2021,Advance Tax Payment,ADVTAX202106,1200000,0,1060740579,NEFT
16-06-2021,NEFT Credit - Metro Traders Pvt Ltd,TXN1436,0,15453933,1076194512,RTGS
16-06-2021,NEFT Credit - Zenith Industries Ltd,TXN1437,0,18731841,1094926353,RTGS
16-06-2021,NEFT Credit - Falcon Enterprises,TXN1438,0,6144717,1101071070,RTGS
17-06-2021,RTGS Payment - Bangalore Thread Works,TXN1439,4656551,0,1096414519,RTGS
18-06-2021,NEFT Credit - Pioneer Mfg Ltd,TXN1440,0,10745036,1107159555,RTGS
21-06-2021,NEFT Credit - Global Exports India,TXN1441,0,12261839,1119421394,RTGS
21-06-2021,NEFT Credit - Orbit Solutions,TXN1442,0,10601975,1130023369,RTGS
21-06-2021,NEFT Credit - Himalaya Exports,TXN1443,0,7099055,1137122424,RTGS
22-06-2021,RTGS Payment - Rajasthan Textiles Supply,TXN1444,12265192,0,1124857232,RTGS
22-06-2021,RTGS Payment - Bangalore Thread Works,TXN1445,14648110,0,1110209122,RTGS
23-06-2021,NEFT Credit - Global Exports India,TXN1446,0,15849182,1126058304,RTGS
23-06-2021,NEFT Credit - Southern Corp,TXN1447,0,5547534,1131605838,RTGS
23-06-2021,NEFT Credit - Crown Industries,TXN1448,0,4613596,1136219434,NEFT
24-06-2021,RTGS Payment - Kolkata Packaging Co,TXN1449,11760266,0,1124459168,RTGS
25-06-2021,NEFT Credit - Prime Exports,TXN1450,0,18875472,1143334640,RTGS
25-06-2021,NEFT Credit - Prestige Manufacturing,TXN1451,0,9454757,1152789397,RTGS
25-06-2021,NEFT Credit - Himalaya Exports,TXN1452,0,6127421,1158916818,RTGS
28-06-2021,Electricity Bill - MSEDCL,ELEC202106,259961,0,1158656857,NEFT
29-06-2021,RTGS Payment - Punjab Suppliers Co,TXN1454,13796957,0,1144859900,RTGS
30-06-2021,NEFT Credit - Central Trading,TXN1455,0,14279961,1159139861,RTGS
30-06-2021,NEFT Credit - Bharat Industries Ltd,TXN1456,0,16314516,1175454377,RTGS
01-07-2021,Rent Payment - Factory Premises,RNT202107,500000,0,1174954377,NEFT
02-07-2021,NEFT Credit - Northern Exports,TXN1458,0,12294772,1187249149,RTGS
05-07-2021,Loan EMI - Punjab National Bank,EMI1202107,800000,0,1186449149,NEFT
06-07-2021,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1460,11037982,0,1175411167,RTGS
07-07-2021,Salary Payment - All Staff,SAL202107,2800000,0,1172611167,NEFT
08-07-2021,RTGS Payment - Punjab Suppliers Co,TXN1463,10588613,0,1153705407,RTGS
08-07-2021,RTGS Payment - Surat Fabric Traders,TXN1462,8317147,0,1164294020,RTGS
09-07-2021,NEFT Credit - Silver Oak Ltd,TXN1464,0,3012267,1156717674,NEFT
09-07-2021,NEFT Credit - Central Trading,TXN1465,0,9847416,1166565090,RTGS
09-07-2021,NEFT Credit - Southern Corp,TXN1466,0,11024219,1177589309,RTGS
12-07-2021,NEFT Credit - Sterling Corp,TXN1467,0,18919340,1196508649,RTGS
13-07-2021,RTGS Payment - Surat Fabric Traders,TXN1468,9813146,0,1186695503,RTGS
13-07-2021,RTGS Payment - Ludhiana Yarn Mills,TXN1469,4666765,0,1182028738,RTGS
14-07-2021,NEFT Credit - Sunrise Trading Co,TXN1470,0,15111042,1197139780,RTGS
14-07-2021,NEFT Credit - National Traders,TXN1471,0,18997961,1216137741,RTGS
16-07-2021,NEFT Credit - Horizon Corp Ltd,TXN1472,0,13133294,1229271035,RTGS
16-07-2021,NEFT Credit - Northern Exports,TXN1473,0,18228624,1247499659,RTGS
16-07-2021,NEFT Credit - Eastern Exports,TXN1474,0,15796326,1263295985,RTGS
19-07-2021,NEFT Credit - Southern Corp,TXN1476,0,15064584,1288468296,RTGS
19-07-2021,NEFT Credit - Diamond Exports Ltd,TXN1475,0,10107727,1273403712,RTGS
20-07-2021,GST Payment - GSTIN MH29AA1234Z,GST202107,1321254,0,1287147042,NEFT
21-07-2021,NEFT Credit - Falcon Enterprises,TXN1479,0,16737353,1320973770,RTGS
21-07-2021,NEFT Credit - Silver Oak Ltd,TXN1478,0,17089375,1304236417,RTGS
22-07-2021,RTGS Payment - Kolkata Packaging Co,TXN1480,9663202,0,1311310568,RTGS
23-07-2021,NEFT Credit - Coastal Traders,TXN1481,0,10596514,1321907082,RTGS
26-07-2021,NEFT Credit - Bharat Industries Ltd,TXN1482,0,14010342,1335917424,RTGS
26-07-2021,NEFT Credit - Prestige Manufacturing,TXN1483,0,8443798,1344361222,RTGS
26-07-2021,NEFT Credit - Zenith Industries Ltd,TXN1484,0,11093086,1355454308,RTGS
27-07-2021,RTGS Payment - Rajasthan Textiles Supply,TXN1485,10279730,0,1345174578,RTGS
27-07-2021,RTGS Payment - Chennai Chemicals Ltd,TXN1486,8052975,0,1337121603,RTGS
28-07-2021,Electricity Bill - MSEDCL,ELEC202107,354573,0,1336767030,NEFT
29-07-2021,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1488,6791890,0,1329975140,RTGS
29-07-2021,RTGS Payment - Bangalore Thread Works,TXN1489,13863911,0,1316111229,RTGS
30-07-2021,NEFT Credit - Eastern Exports,TXN1490,0,2970307,1319081536,NEFT
30-07-2021,NEFT Credit - National Traders,TXN1491,0,18705850,1337787386,RTGS
02-08-2021,NEFT Credit - Apex Corp,TXN1492,0,6849282,1344636668,RTGS
03-08-2021,RTGS Payment - Pune Engineering Works,TXN1493,11414311,0,1333222357,RTGS
03-08-2021,RTGS Payment - Tirupur Cotton Co,TXN1494,6131966,0,1327090391,RTGS
04-08-2021,NEFT Credit - Diamond Exports Ltd,TXN1497,0,16103206,1367864664,RTGS
04-08-2021,NEFT Credit - Himalaya Exports,TXN1496,0,11034615,1351761458,RTGS
04-08-2021,NEFT Credit - Royal Textiles,TXN1495,0,13636452,1340726843,RTGS
05-08-2021,Loan EMI - Punjab National Bank,EMI1202108,800000,0,1367064664,NEFT
06-08-2021,NEFT Credit - Apex Corp,TXN1499,0,7736453,1374801117,RTGS
09-08-2021,NEFT Credit - Prestige Manufacturing,TXN1500,0,14406262,1389207379,RTGS
11-08-2021,NEFT Credit - Crown Industries,TXN1501,0,13939400,1403146779,RTGS
12-08-2021,RTGS Payment - Pune Engineering Works,TXN1502,11385735,0,1391761044,RTGS
12-08-2021,RTGS Payment - Hyderabad Dye Stuff Co,TXN1503,7867292,0,1383893752,RTGS
13-08-2021,NEFT Credit - Deccan Industries,TXN1504,0,12033986,1395927738,RTGS
13-08-2021,NEFT Credit - Silver Oak Ltd,TXN1505,0,8702401,1404630139,RTGS
16-08-2021,NEFT Credit - Diamond Exports Ltd,TXN1506,0,7345223,1411975362,RTGS
16-08-2021,NEFT Credit - Crown Industries,TXN1507,0,7017853,1418993215,RTGS
16-08-2021,NEFT Credit - Falcon Enterprises,TXN1508,0,4824269,1423817484,NEFT
17-08-2021,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1509,4105795,0,1419711689,RTGS
18-08-2021,NEFT Credit - Sunrise Trading Co,TXN1512,0,6013524,1458857314,RTGS
18-08-2021,NEFT Credit - Eastern Exports,TXN1510,0,18753078,1438464767,RTGS
18-08-2021,NEFT Credit - Coastal Traders,TXN1511,0,14379023,1452843790,RTGS
19-08-2021,RTGS Payment - Ludhiana Yarn Mills,TXN1513,10223504,0,1448633810,RTGS
20-08-2021,GST Payment - GSTIN MH29AA1234Z,GST202108,989930,0,1447643880,NEFT
23-08-2021,NEFT Credit - Western Corp,TXN1515,0,19184746,1466828626,RTGS
23-08-2021,NEFT Credit - Coastal Traders,TXN1516,0,11601946,1478430572,RTGS
23-08-2021,NEFT Credit - Bharat Industries Ltd,TXN1517,0,7547930,1485978502,RTGS
24-08-2021,RTGS Payment - Ahmedabad Dyes Ltd,TXN1518,5356752,0,1480621750,RTGS
25-08-2021,NEFT Credit - Falcon Enterprises,TXN1519,0,8854579,1489476329,RTGS
25-08-2021,NEFT Credit - Sunrise Trading Co,TXN1520,0,7871208,1497347537,RTGS
26-08-2021,RTGS Payment - Ludhiana Yarn Mills,TXN1521,11061299,0,1486286238,RTGS
27-08-2021,NEFT Credit - Horizon Corp Ltd,TXN1522,0,3563626,1489849864,NEFT
30-08-2021,NEFT Credit - Eastern Exports,TXN1523,0,7701239,1497551103,RTGS
31-08-2021,RTGS Payment - Surat Fabric Traders,TXN1524,14729756,0,1482821347,RTGS
01-09-2021,Rent Payment - Factory Premises,RNT202109,500000,0,1482321347,NEFT
02-09-2021,RTGS Payment - Punjab Suppliers Co,TXN1526,2305779,0,1480015568,RTGS
02-09-2021,RTGS Payment - Bangalore Thread Works,TXN1527,6870422,0,1473145146,RTGS
03-09-2021,NEFT Credit - Royal Textiles,TXN1528,0,10189840,1483334986,RTGS
03-09-2021,NEFT Credit - Silver Oak Ltd,TXN1529,0,5893109,1489228095,RTGS
06-09-2021,NEFT Credit - Horizon Corp Ltd,TXN1530,0,18588427,1507816522,RTGS
07-09-2021,Salary Payment - All Staff,SAL202109,2800000,0,1505016522,NEFT
07-09-2021,TDS Payment Challan 281,TDS202109,475233,0,1504541289,NEFT
08-09-2021,NEFT Credit - Southern Corp,TXN1533,0,3896280,1508437569,NEFT
09-09-2021,RTGS Payment - Pune Engineering Works,TXN1534,3342892,0,1505094677,RTGS
09-09-2021,RTGS Payment - Bangalore Thread Works,TXN1535,12660346,0,1492434331,RTGS
13-09-2021,NEFT Credit - Pioneer Mfg Ltd,TXN1537,0,16408705,1514188592,RTGS
13-09-2021,NEFT Credit - Metro Traders Pvt Ltd,TXN1536,0,5345556,1497779887,RTGS
13-09-2021,NEFT Credit - Western Corp,TXN1538,0,18723685,1532912277,RTGS
14-09-2021,RTGS Payment - Punjab Suppliers Co,TXN1540,11462911,0,1515185413,RTGS
14-09-2021,RTGS Payment - Punjab Suppliers Co,TXN1539,6263953,0,1526648324,RTGS
15-09-2021,Advance Tax Payment,ADVTAX202109,1200000,0,1513985413,NEFT
16-09-2021,RTGS Payment - Bangalore Thread Works,TXN1542,12101348,0,1501884065,RTGS
16-09-2021,RTGS Payment - Tirupur Cotton Co,TXN1543,12475338,0,1489408727,RTGS
17-09-2021,NEFT Credit - Coastal Traders,TXN1544,0,11567312,1500976039,RTGS
20-09-2021,GST Payment - GSTIN MH29AA1234Z,GST202109,1098855,0,1499877184,NEFT
21-09-2021,RTGS Payment - Pune Engineering Works,TXN1546,7088757,0,1492788427,RTGS
21-09-2021,RTGS Payment - Ahmedabad Dyes Ltd,TXN1547,11973813,0,1480814614,RTGS
22-09-2021,NEFT Credit - Crown Industries,TXN1548,0,12340019,1493154633,RTGS
22-09-2021,NEFT Credit - Bharat Industries Ltd,TXN1549,0,3810496,1496965129,NEFT
23-09-2021,RTGS Payment - Tirupur Cotton Co,TXN1550,5586102,0,1491379027,RTGS
24-09-2021,NEFT Credit - Orbit Solutions,TXN1551,0,7240025,1498619052,RTGS
24-09-2021,NEFT Credit - Ganges Corp,TXN1552,0,4162099,1502781151,NEFT
24-09-2021,NEFT Credit - Sunrise Trading Co,TXN1553,0,6824269,1509605420,RTGS
27-09-2021,NEFT Credit - Eastern Exports,TXN1554,0,4059379,1513664799,NEFT
28-09-2021,Electricity Bill - MSEDCL,ELEC202109,270517,0,1513394282,NEFT
29-09-2021,NEFT Credit - Sterling Corp,TXN1556,0,10358197,1523752479,RTGS
30-09-2021,RTGS Payment - Kolkata Packaging Co,TXN1557,2647605,0,1521104874,RTGS
30-09-2021,RTGS Payment - Chennai Chemicals Ltd,TXN1558,6933597,0,1514171277,RTGS
01-10-2021,Rent Payment - Factory Premises,RNT202110,500000,0,1513671277,NEFT
04-10-2021,NEFT Credit - Crown Industries,TXN1560,0,14594174,1528265451,RTGS
04-10-2021,NEFT Credit - Central Trading,TXN1561,0,10417381,1538682832,RTGS
04-10-2021,NEFT Credit - Apex Corp,TXN1562,0,14332405,1553015237,RTGS
05-10-2021,Loan EMI - Punjab National Bank,EMI1202110,800000,0,1552215237,NEFT
06-10-2021,NEFT Credit - Prime Exports,TXN1564,0,7238490,1559453727,RTGS
07-10-2021,Salary Payment - All Staff,SAL202110,2800000,0,1556653727,NEFT
08-10-2021,NEFT Credit - Western Corp,TXN1566,0,13892810,1570546537,RTGS
08-10-2021,NEFT Credit - Northern Exports,TXN1567,0,18464357,1589010894,RTGS
08-10-2021,NEFT Credit - Orbit Solutions,TXN1568,0,9932648,1598943542,RTGS
11-10-2021,NEFT Credit - Eastern Exports,TXN1569,0,6571676,1605515218,RTGS
12-10-2021,RTGS Payment - Kolkata Packaging Co,TXN1570,4486328,0,1601028890,RTGS
13-10-2021,NEFT Credit - Metro Traders Pvt Ltd,TXN1571,0,5583722,1606612612,RTGS
14-10-2021,RTGS Payment - Bangalore Thread Works,TXN1572,14665425,0,1591947187,RTGS
14-10-2021,RTGS Payment - Ahmedabad Dyes Ltd,TXN1573,11649709,0,1580297478,RTGS
18-10-2021,NEFT Credit - Diamond Exports Ltd,TXN1574,0,4886308,1585183786,NEFT
18-10-2021,NEFT Credit - Diamond Exports Ltd,TXN1575,0,14354099,1599537885,RTGS
19-10-2021,RTGS Payment - Ludhiana Yarn Mills,TXN1576,8852972,0,1590684913,RTGS
19-10-2021,RTGS Payment - Kolkata Packaging Co,TXN1577,10496529,0,1580188384,RTGS
20-10-2021,GST Payment - GSTIN MH29AA1234Z,GST202110,1266211,0,1578922173,NEFT
21-10-2021,RTGS Payment - Pune Engineering Works,TXN1579,3449590,0,1575472583,RTGS
21-10-2021,RTGS Payment - Bangalore Thread Works,TXN1580,2768752,0,1572703831,RTGS
22-10-2021,NEFT Credit - Deccan Industries,TXN1581,0,8207658,1580911489,RTGS
22-10-2021,NEFT Credit - Bharat Industries Ltd,TXN1582,0,7000476,1587911965,RTGS
25-10-2021,NEFT Credit - Apex Corp,TXN1583,0,6640714,1594552679,RTGS
26-10-2021,RTGS Payment - Tirupur Cotton Co,TXN1584,13379013,0,1581173666,RTGS
27-10-2021,NEFT Credit - Western Corp,TXN1585,0,3474975,1584648641,NEFT
27-10-2021,NEFT Credit - Coastal Traders,TXN1586,0,15488085,1600136726,RTGS
28-10-2021,Electricity Bill - MSEDCL,ELEC202110,272962,0,1599863764,NEFT
29-10-2021,NEFT Credit - National Traders,TXN1588,0,13730515,1613594279,RTGS
29-10-2021,NEFT Credit - Diamond Exports Ltd,TXN1589,0,18169151,1631763430,RTGS
01-11-2021,Rent Payment - Factory Premises,RNT202111,500000,0,1631263430,NEFT
02-11-2021,RTGS Payment - Rajasthan Textiles Supply,TXN1591,11920201,0,1619343229,RTGS
02-11-2021,RTGS Payment - Mumbai Transport Co,TXN1592,12749920,0,1606593309,RTGS
03-11-2021,NEFT Credit - Apex Corp,TXN1593,0,10685465,1617278774,RTGS
03-11-2021,NEFT Credit - Delta Traders,TXN1594,0,9650944,1626929718,RTGS
04-11-2021,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1595,13342974,0,1613586744,RTGS
04-11-2021,RTGS Payment - Punjab Suppliers Co,TXN1596,4798193,0,1608788551,RTGS
05-11-2021,Loan EMI - Punjab National Bank,EMI1202111,800000,0,1607988551,NEFT
08-11-2021,NEFT Credit - Sterling Corp,TXN1598,0,14437913,1622426464,RTGS
08-11-2021,NEFT Credit - Royal Textiles,TXN1599,0,7635492,1630061956,RTGS
09-11-2021,RTGS Payment - Hyderabad Dye Stuff Co,TXN1601,2715675,0,1612487213,RTGS
09-11-2021,RTGS Payment - Ahmedabad Dyes Ltd,TXN1600,14859068,0,1615202888,RTGS
11-11-2021,RTGS Payment - Punjab Suppliers Co,TXN1602,7376722,0,1605110491,RTGS
